title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997.0,7.6,519248.0,"AT, CH, DE"
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,8.2,1228454.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Jarhead,movie,"Biography, Drama, War",2005.0,7.0,212748.0,"AD, AE, AG, AO, BH, BM, BR, BS, BZ, CI, CM, CO, CR, CU, CV, DK, DO, DZ, EC, EG, ES, GF, GH, GT, HK, HN, ID, IL, IQ, IS, JM, KE, KW, LB, LC, LY, MA, MC, MG, ML, MU, MX, MY, MZ, NG, NO, NZ, PA, PE, PF, PS, PY, QA, SA, SC, SE, SG, SN, SV, TC, TH, TR, TW, TZ, US, UY, VE, ZA, ZM, ZW"
Unforgiven,movie,"Drama, Western",1992.0,8.2,446602.0,"AU, BA, BG, CZ, HR, HU, MD, ME, MK, NZ, PL, RO, RS, SI, SK"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,8.3,1113480.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Amores Perros,movie,"Drama, Thriller",2000.0,8.0,257839.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
A History of Violence,movie,"Action, Crime, Drama",2005.0,7.4,260260.0,"AD, AU, CA, ES, GB, GG, IE, NZ, PT"
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968.0,8.3,741185.0,AU
Talk to Her,movie,"Drama, Mystery, Romance",2002.0,7.9,119047.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
8 Mile,movie,"Drama, Music",2002.0,7.2,332333.0,"FR, MX, US"
Paradise Now,movie,"Crime, Drama, Thriller",2005.0,7.4,24377.0,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
Million Dollar Baby,movie,"Drama, Sport",2004.0,8.1,736377.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, FR, GF, GT, HN, IT, JM, LC, MX, NI, PA, PE, PF, PY, SM, SV, TC, TT, US, UY, VE"
American History X,movie,"Crime, Drama",1998.0,8.5,1214490.0,"AD, ES, PT"
Mars Attacks!,movie,"Comedy, Sci-Fi",1996.0,6.4,249467.0,"BE, CH, IT, SM"
Before Sunrise,movie,"Drama, Romance",1995.0,8.1,351396.0,"CY, KR, TR"
Memento,movie,"Mystery, Thriller",2000.0,8.4,1356228.0,KR
Hero,movie,"Action, Adventure, Drama",2002.0,7.9,189574.0,"HK, KR, US"
Before Sunset,movie,"Drama, Romance",2004.0,8.1,296809.0,"KR, US"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,8.0,187698.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,8.4,1059813.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
